series,replan_id,num_states,executed_prefix_norm_rms,full_chunk_norm_rms_0_31,translation_norm_rms,rotation_norm_rms,executed_prefix_cosine_similarity,executed_prefix_gripper_flip_rate,full_horizon_gripper_flip_rate
late_current_correct,0,99,0.16554161267979414,0.17320331794325552,0.20393281279735412,0.11071050911856135,0.9947425802660177,0.0,0.0012626262626262627
late_current_correct,1,100,0.1442737708492178,0.1343795640645455,0.16855856457275945,0.11231089098232999,0.9963018334110691,0.0,0.0040625
late_current_correct,2,100,0.12942346779637992,0.11704694323855636,0.14434027103347813,0.10853022165355504,0.995685876375081,0.001,0.0103125
late_current_correct,3,100,0.12026838817458131,0.12617301685675733,0.11352665224897002,0.12238690923279641,0.990556019766932,0.022000000000000002,0.0165625
late_current_correct,4,100,0.12422264251747754,0.13457578921985722,0.10147250728080648,0.1403656830805637,0.9890944091305351,0.030000000000000006,0.0109375
late_wrong_scene,0,99,0.31094853839241804,0.36223380838234437,0.2733622949273205,0.3271371606750547,0.9810787216451698,0.0,0.006313131313131313
late_wrong_scene,1,100,0.31774526522027596,0.37529664546901736,0.28004684577846056,0.3376026907679877,0.9807641519409442,0.0,0.0265625
late_wrong_scene,2,100,0.3677619948609883,0.41114140228365686,0.3288475527533668,0.3822276830762612,0.9686761250651336,0.017,0.060625
late_wrong_scene,3,100,0.3992170412891943,0.4640609246586187,0.3434576498834773,0.4316244472531515,0.9281316757272688,0.064,0.068125
late_wrong_scene,4,100,0.4539109148070403,0.5108347090508986,0.35100766183618987,0.5188823136813442,0.885303661920036,0.115,0.0528125
late_no_video,0,99,1.156177654745043,1.078015392782959,1.5384436253477052,0.5246657150775201,-0.04856587305406456,0.7000000000000001,0.5063131313131313
late_no_video,1,100,1.1009836626662155,0.9680784978986062,1.4441589235777912,0.5338453629921497,0.2801742700975282,0.7000000000000002,0.5890625
late_no_video,2,100,0.9691617299718746,0.8637257863230389,1.2185558523909363,0.562490982812405,0.5315344898530949,0.6850000000000003,0.6703125
late_no_video,3,100,0.7686859653382292,0.8953200650648124,0.7495767665339244,0.7476217861626029,0.7076005536561369,0.5810000000000002,0.670625
late_no_video,4,100,0.8272702880194543,1.040507672926433,0.7816166641824361,0.8446543659549752,0.085621601260367,0.41099999999999987,0.54625
wrong_vs_correct,0,99,0.2629193582753803,0.3225128953623867,0.18878965064691322,0.305454241326608,0.983077760579751,0.0,0.006313131313131313
wrong_vs_correct,1,100,0.2852855102631046,0.35281342977649394,0.22504460506186297,0.3239632779639577,0.9822032441807445,0.0,0.025
wrong_vs_correct,2,100,0.345262038375979,0.3942086794811896,0.29577653488336836,0.37053741386337485,0.9700215610348293,0.016,0.0590625
wrong_vs_correct,3,100,0.38687389370593617,0.44334313948407134,0.3252885698173543,0.4239619009756354,0.9325764649035491,0.06200000000000001,0.0628125
wrong_vs_correct,4,100,0.42762768496574205,0.4906219559915078,0.33362570424678933,0.48973271441104516,0.8893226685646947,0.11299999999999999,0.053125
