layer,tensor,shape,dtype,num_samples,current_mean,donor_mean,donor_current_mean_ratio,current_std,donor_std,donor_current_std_ratio,current_rms,donor_rms,donor_current_rms_ratio
15,K,"[1, 98, 3072]",torch.bfloat16,499,-0.030053320999643605,-0.0300553611970557,1.0000678859222287,1.4261654307225902,1.4261699489696709,1.0000031681086803,1.4264842508312219,1.4264887987014525,1.0000031881671514
15,V,"[1, 98, 3072]",torch.bfloat16,499,0.0003745510367409082,0.00037193616556912033,0.993018651891767,0.8224613421665643,0.8223956327639027,0.9999201063937078,0.8224654411505123,0.8223997226697888,0.9999200957542586
16,K,"[1, 98, 3072]",torch.bfloat16,499,0.02336022968521577,0.023360429760927188,1.000008564800694,1.504195986864323,1.5042012645629699,1.0000035086509291,1.5043793252570357,1.5043846074947136,1.0000035112405423
16,V,"[1, 98, 3072]",torch.bfloat16,499,-0.002117981472896397,-0.0021194251301290524,1.0006816193867272,0.8321097102576124,0.832016635872797,0.9998881464983906,0.8321153821352727,0.8320223118116956,0.9998881521414275
17,K,"[1, 98, 3072]",torch.bfloat16,499,-0.002077121451738074,-0.002075861044854655,0.9993931953847166,1.4314246911085202,1.431425012901933,1.0000002248063868,1.431427159385834,1.431427481179247,1.0000002248059991
17,V,"[1, 98, 3072]",torch.bfloat16,499,0.002494599644990217,0.0024942116267443262,0.9998444567060409,0.8039467654868453,0.8038516738610659,0.9998817190019768,0.8039517402648926,0.8038566519836624,0.9998817238940252
18,K,"[1, 98, 3072]",torch.bfloat16,499,0.013636499751575723,0.01363912797747609,1.0001927346421917,1.579888621169723,1.5798928871422349,1.0000027001729457,1.5799486930958015,1.5799529858247072,1.0000027170052574
18,V,"[1, 98, 3072]",torch.bfloat16,499,0.0009261133621793851,0.0009266406752452939,1.0005693828503541,0.760243101922687,0.7601774975149809,0.9999137060138524,0.7602495800756023,0.7601839741150698,0.9999137047066491
19,K,"[1, 98, 3072]",torch.bfloat16,499,-0.017961226069631582,-0.017959682483651596,0.9999140600995722,1.5103986578618358,1.5103992460247033,1.0000003894090241,1.510506458655149,1.5105070281840995,1.0000003770450283
19,V,"[1, 98, 3072]",torch.bfloat16,499,-0.004265222957016333,-0.00426431241187552,0.9997865187470879,0.8276496217819397,0.8275925727311022,0.9999310710120127,0.8276637987287824,0.8276067394054007,0.9999310597811947
20,K,"[1, 98, 3072]",torch.bfloat16,499,-0.0008547933579011132,-0.0008557990783259071,1.0011765655587959,1.5783344153650778,1.578334592865082,1.0000001124603268,1.5783354438139585,1.57833562083617,1.0000001121575341
20,V,"[1, 98, 3072]",torch.bfloat16,499,0.0001281537368756635,0.00012700686612718387,0.9910508208621935,0.8154815972926382,0.8154667098679858,0.9999817440090593,0.8154834013185902,0.8154685070853912,0.9999817357003528
21,K,"[1, 98, 3072]",torch.bfloat16,499,0.0023174249566531462,0.0023168473422184453,0.9997507516120241,1.5229206412493108,1.5229201123327434,0.99999965269591,1.5229247872958442,1.522924250734593,0.9999996476771172
21,V,"[1, 98, 3072]",torch.bfloat16,499,-3.664771430705882e-05,-3.286423026167653e-05,0.896760708903105,0.8275407464327459,0.8275490903663253,1.0000100828069378,0.8275425225078223,0.8275508737277412,1.0000100915900896
22,K,"[1, 98, 3072]",torch.bfloat16,499,0.004996924288057627,0.004995600890577257,0.9997351575881323,1.4336426346478817,1.4336431157851746,1.0000003356047604,1.4336519516063835,1.433652427965749,1.0000003322698825
22,V,"[1, 98, 3072]",torch.bfloat16,499,-0.002714237379317087,-0.002714225880658331,0.9999957635765968,0.9740348234921993,0.974032769341746,0.9999978910913617,0.9740408086824512,0.9740387521430343,0.9999978886516883
23,K,"[1, 98, 3072]",torch.bfloat16,499,-0.015570014718927458,-0.015569727879039989,0.9999815774170643,1.4409915407100518,1.440992421759871,1.0000006114191475,1.441077816462469,1.4410786860452625,1.000000603425286
23,V,"[1, 98, 3072]",torch.bfloat16,499,-0.0005659079520845678,-0.0005650608136204049,0.9985030454846192,0.8687498975612358,0.8687342809054083,0.9999820239911724,0.8687513063331406,0.8687356866911083,0.9999820205829697
24,K,"[1, 98, 3072]",torch.bfloat16,499,0.022589145806843867,0.022586782461028538,0.9998953769285683,1.4885355676104406,1.4885367883709006,1.000000820108358,1.4887081817061247,1.4887093573151704,1.0000007896840093
24,V,"[1, 98, 3072]",torch.bfloat16,499,0.0009174681722588739,0.0009190291972238141,1.001701448630198,0.797802374931519,0.7977938367751892,0.9999892979055992,0.7978041320143339,0.7977955966053124,0.9999893013727569
25,K,"[1, 98, 3072]",torch.bfloat16,499,-0.030276344932302204,-0.030275537582013554,0.9999733339578983,1.7070855102940408,1.7070860910511207,1.00000034020386,1.7073546366127794,1.7073552066195226,1.000000333853747
25,V,"[1, 98, 3072]",torch.bfloat16,499,0.0019025577415912173,0.0019021005520666156,0.999759697424889,0.9590620059288575,0.959063817957838,1.0000018893762543,0.9590673703468873,0.9590691986208211,1.0000019063039682
26,K,"[1, 98, 3072]",torch.bfloat16,499,0.00026153555552218405,0.00026016742042370307,0.9947688370869905,1.56369858705448,1.5636984377442475,0.9999999045146977,1.563701161401783,1.5637010147194108,0.9999999061953935
26,V,"[1, 98, 3072]",torch.bfloat16,499,0.0012806059759962315,0.001279684359692264,0.9992803279687567,0.9118213025266995,0.9118148615221701,0.9999929361109337,0.9118252216216797,0.9118187833644584,0.9999929391542715
27,K,"[1, 98, 3072]",torch.bfloat16,499,0.015295166247906928,0.015297176191333181,1.000131410368065,1.4200806018106924,1.4200769163563638,0.9999974047569385,1.420164652243406,1.4201609945010565,0.99999742442375
27,V,"[1, 98, 3072]",torch.bfloat16,499,-0.003498431637316041,-0.003500311892212868,1.0005374565210226,0.8268032537433571,0.8268008558210247,0.999997099766696,0.826813932650075,0.8268115344888461,0.9999970995152184
28,K,"[1, 98, 3072]",torch.bfloat16,499,-0.016618605772171446,-0.016619845366251013,1.0000745907386313,1.5361544906734703,1.5361525501182418,0.9999987367447478,1.5362449105612501,1.5362429900733168,0.9999987498816627
28,V,"[1, 98, 3072]",torch.bfloat16,499,-0.00022195720142934112,-0.0002232490977983977,1.0058204751219475,0.999733837668547,0.9997326043660273,0.9999987663691343,0.99973945603342,0.9997382165195947,0.9999987601631427
29,K,"[1, 98, 3072]",torch.bfloat16,499,0.10993048517343276,0.10993010623899395,0.9999965529631001,4.233366749329653,4.2333464182928235,0.9999951974307842,4.234793889498663,4.234773539350123,0.9999951945362465
29,V,"[1, 98, 3072]",torch.bfloat16,499,-0.007516326649648274,-0.007518138406137546,1.0002410428090371,0.5390111984375244,0.5389963742009624,0.9999724973495819,0.5390647209598449,0.5390499196573345,0.9999725426244106
