condition,display_name,num_samples,executed_prefix_norm_rms,full_chunk_norm_rms_0_31,translation_norm_rms,rotation_norm_rms,executed_prefix_cosine_similarity,executed_prefix_gripper_flip_rate,full_horizon_gripper_flip_rate
late_current_correct,Correct Current K/V,499,0.13668826971756567,0.1370033262812704,0.1462507975561913,0.11887717614761942,0.9932732050394739,0.010621242484969942,0.008642284569138277
late_wrong_scene,Wrong Same-Task Scene K/V,499,0.37003492368456775,0.42483870776767785,0.31542853351293426,0.3996398644984065,0.9487261621407015,0.03927855711422846,0.042960921843687376
late_no_video,No Video K/V,499,0.9640716481349432,0.9689112747631303,1.1456848488535705,0.6428920953604965,0.31199412836545154,0.6152304609218436,0.5966933867735471
