condition,replan_id,executed_prefix_norm_rms,episode_cluster_ci_low,episode_cluster_ci_high,num_samples,num_episode_clusters
baseline_round2,0,0.0,0.0,0.0,99,99
baseline_round2,1,0.0,0.0,0.0,100,100
baseline_round2,2,0.0,0.0,0.0,100,100
baseline_round2,3,0.0,0.0,0.0,100,100
baseline_round2,4,0.0,0.0,0.0,100,100
keep_15_29,0,0.16554161267979414,0.15992670325109873,0.17124954417805513,99,99
keep_15_29,1,0.1442737708492178,0.14064621343833436,0.1478375754167299,100,100
keep_15_29,2,0.12942346779637992,0.12394298010073432,0.1348515635429243,100,100
keep_15_29,3,0.12026838817458131,0.11369284604784723,0.12685622798555563,100,100
keep_15_29,4,0.12422264251747754,0.11456146271834686,0.1349022952634573,100,100
keep_20_29,0,0.3332162949895028,0.32100461871138364,0.34569212483398354,99,99
keep_20_29,1,0.32155981609635637,0.31286081462239684,0.33007457919417765,100,100
keep_20_29,2,0.32785126382172863,0.31385730884858315,0.341559707164187,100,100
keep_20_29,3,0.30679016469466786,0.2929659846587132,0.3204262342225539,100,100
keep_20_29,4,0.33301933562615615,0.30456022149606937,0.36266544576216553,100,100
keep_25_29,0,0.6746970261897561,0.6521608834441075,0.6976208573467075,99,99
keep_25_29,1,0.6561571976690364,0.6358775746205337,0.6766407717304647,100,100
keep_25_29,2,0.6927046828477333,0.6648030428659633,0.7190690978405837,100,100
keep_25_29,3,0.6468393728671429,0.6189395443224184,0.6738656593278154,100,100
keep_25_29,4,0.7111290938070007,0.6712218883212959,0.750514527688901,100,100
keep_00_14,0,1.042954242796353,1.0032888684949135,1.079849314642825,99,99
keep_00_14,1,0.9795356386096191,0.9352684021416282,1.0213996146636586,100,100
keep_00_14,2,0.849175992194751,0.805192129783256,0.8929196546578096,100,100
keep_00_14,3,0.6617157339202904,0.6262713216279824,0.6969384581886947,100,100
keep_00_14,4,0.7131660250729992,0.6719704724416923,0.7542559313933466,100,100
keep_00_19,0,0.8609658697936572,0.825741463798096,0.8938948714281364,99,99
keep_00_19,1,0.6672199673962526,0.6305827476072393,0.7028886811424677,100,100
keep_00_19,2,0.517425278673855,0.49259655367837185,0.5422816161518226,100,100
keep_00_19,3,0.4592111420372939,0.43035161942040356,0.48801885585049,100,100
keep_00_19,4,0.5138538595913151,0.4787445596905528,0.5500082722836415,100,100
keep_15_19,0,0.9663768533742223,0.9258482445249361,1.003616257301649,99,99
keep_15_19,1,0.8146662759951271,0.7763861015363458,0.8517090151515344,100,100
keep_15_19,2,0.6483911808718836,0.6207249997645254,0.6754264106952549,100,100
keep_15_19,3,0.5653241102691884,0.5325243301498802,0.598668875609195,100,100
keep_15_19,4,0.6272465821240533,0.5890129076729679,0.6661788710951433,100,100
keep_15_19_25_29,0,0.4320191595843985,0.41443415124051,0.4490711556348931,99,99
keep_15_19_25_29,1,0.31937653574352104,0.3049772010478686,0.3343096757132098,100,100
keep_15_19_25_29,2,0.28475605715372015,0.2721367051483345,0.29828186968494275,100,100
keep_15_19_25_29,3,0.28547557232869003,0.2696386092969101,0.301937125500935,100,100
keep_15_19_25_29,4,0.3188883520844158,0.29836501014012584,0.3409835297272073,100,100
