condition,component_type,component_index,component_name,semantic_group,metric_name,mean_value,mean_norm_rms,episode_cluster_ci_low,episode_cluster_ci_high,num_samples,num_episode_clusters
keep_00_14,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.7267645956243494,0.7267645956243494,0.6966036416112781,0.7573294447009389,499,100
keep_00_14,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.5002424843400536,0.5002424843400536,0.4581689338097486,0.5449790318826689,499,100
keep_00_14,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.5723907295568128,0.5723907295568128,0.5387909458265375,0.6051663570745287,499,100
keep_00_14,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.34843466424801095,0.34843466424801095,0.29517909624080924,0.40633610552761407,499,100
keep_00_14,group,translation,translation,translation,executed_prefix_norm_rms,1.012730781102016,1.012730781102016,0.9691408327945847,1.0554522303988056,499,100
keep_00_14,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.5566879664910022,0.5566879664910022,0.5286789341730921,0.5844910726266656,499,100
keep_00_14,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.4308617234468938,,0.3951903807615231,0.46673513026052105,499,100
keep_00_19,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.7999785128542964,0.7999785128542964,0.7334529390056637,0.8681211591926464,499,100
keep_00_19,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.49895155317797235,0.49895155317797235,0.44631997021736475,0.554090003955045,499,100
keep_00_19,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.48160096415827347,0.48160096415827347,0.4597556616541054,0.5044144526690266,499,100
keep_00_19,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.4354677979263674,0.4354677979263674,0.40121411020787334,0.47144228787788667,499,100
keep_00_19,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.44310604603025694,0.44310604603025694,0.4155337483143041,0.47125826724310504,499,100
keep_00_19,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.29111359272414356,0.29111359272414356,0.25145417521845154,0.33393179083699215,499,100
keep_00_19,group,translation,translation,translation,executed_prefix_norm_rms,0.6812765262674049,0.6812765262674049,0.6494546357454425,0.7131836968644457,499,100
keep_00_19,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.44982166578772037,0.44982166578772037,0.42658378899540755,0.47239335024500123,499,100
keep_00_19,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.19258517034068134,,0.17380000000000004,0.21084337349397592,499,100
keep_15_19,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.9782302929891082,0.9782302929891082,0.8963071462503513,1.0597801395247637,499,100
keep_15_19,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.5673489026011367,0.5673489026011367,0.5048915436513502,0.6304653729469238,499,100
keep_15_19,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.59605419186184,0.59605419186184,0.5765002430192357,0.6159245891029219,499,100
keep_15_19,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.45289217823468203,0.45289217823468203,0.41652288918701547,0.49112520685561245,499,100
keep_15_19,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.5368847057361622,0.5368847057361622,0.5049200904403323,0.5694331950952152,499,100
keep_15_19,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.34293808318576363,0.34293808318576363,0.290841454862484,0.40134740127845503,499,100
keep_15_19,group,translation,translation,translation,executed_prefix_norm_rms,0.8355687738665071,0.8355687738665071,0.7998114901652154,0.8689965084097986,499,100
keep_15_19,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.5201520542847801,0.5201520542847801,0.4922530186804593,0.5480541439552946,499,100
keep_15_19,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.2569138276553106,,0.232,0.28020303212851405,499,100
keep_15_19_25_29,dimension,0,delta_position_x,translation,executed_prefix_norm_rms,0.3611281620410384,0.3611281620410384,0.3325227738582703,0.3892199051653392,499,100
keep_15_19_25_29,dimension,1,delta_position_y,translation,executed_prefix_norm_rms,0.267789823295414,0.267789823295414,0.2378592731980768,0.29924271313135836,499,100
keep_15_19_25_29,dimension,2,delta_position_z,translation,executed_prefix_norm_rms,0.24528812757536225,0.24528812757536225,0.23813161791209067,0.25257127510399247,499,100
keep_15_19_25_29,dimension,3,delta_axis_angle_x,rotation,executed_prefix_norm_rms,0.2541378535614331,0.2541378535614331,0.23853666983851698,0.27047398526724886,499,100
keep_15_19_25_29,dimension,4,delta_axis_angle_y,rotation,executed_prefix_norm_rms,0.3305140333864213,0.3305140333864213,0.3111732419802589,0.3507082726620052,499,100
keep_15_19_25_29,dimension,5,delta_axis_angle_z,rotation,executed_prefix_norm_rms,0.17707870016591418,0.17707870016591418,0.15582930829964672,0.1983224739086223,499,100
keep_15_19_25_29,group,translation,translation,translation,executed_prefix_norm_rms,0.34061954690268986,0.34061954690268986,0.32906482089176065,0.3525972464475945,499,100
keep_15_19_25_29,group,rotation,rotation,rotation,executed_prefix_norm_rms,0.2909712047570675,0.2909712047570675,0.27989788379497454,0.30223011899638696,499,100
keep_15_19_25_29,dimension,6,gripper,gripper,executed_prefix_gripper_flip_rate,0.013226452905811623,,0.010799999999999997,0.015831663326653304,499,100
