condition,disabled_video_layers,offline_normalized_l2,offline_cosine_similarity,gripper_flip_rate,online_success_rate,delta_success_rate,paired_delta_success_rate,paired_delta_ci_low,paired_delta_ci_high,total_episodes,paired_episodes
baseline,[],3.250113222748041e-06,0.999999990051966,0.0,0.97,0.0,0.0,0.0,0.0,100,100
drop_00_04,"[0, 1, 2, 3, 4]",0.01893195840343833,0.9990835740753428,0.0011875,0.97,0.0,0.0,-0.04,0.04,100,100
drop_05_09,"[5, 6, 7, 8, 9]",0.008222689907997847,0.9997037458825384,0.001,0.95,-0.020000000000000018,-0.02,-0.06,0.02,100,100
drop_10_14,"[10, 11, 12, 13, 14]",0.03040702718310058,0.997210316112687,0.0080625,0.97,0.0,0.0,-0.04,0.04,100,100
drop_15_19,"[15, 16, 17, 18, 19]",0.0664181009531021,0.9861781322174007,0.018125,0.7,-0.27,-0.27,-0.36,-0.18,100,100
drop_20_24,"[20, 21, 22, 23, 24]",0.05880754406005144,0.9880667706392576,0.0050625,0.89,-0.07999999999999996,-0.08,-0.15,-0.02,100,100
drop_25_29,"[25, 26, 27, 28, 29]",0.1215101070702076,0.9696598148342916,0.0199375,0.67,-0.29999999999999993,-0.3,-0.4,-0.2,100,100
drop_all,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.33945348009467124,0.26235129058009327,0.5964375,0.0,-0.97,-0.97,-1.0,-0.93,100,100
